0, 346311158.985470
1, 620129885.976333
2, 463103395.806238
3, 439305079.532618
4, 370620348.193647
5, 327468082.518771
6, 663558984.024544
7, 360395650.669877
8, 314300689.522791
9, 267918602.654309
10, 246346939.240517
11, 264187751.561162
12, 390457575.882101
13, 501612533.555926
14, 762543258.144297
15, 372281345.745882
16, 366396635.150458
17, 491102917.433933
18, 337379258.020369
19, 399011994.538764
20, 564575334.543371
21, 283464859.922593
22, 373298891.121116
23, 381803664.033069
24, 425970431.011703
25, 439724282.284756
26, 719357810.950208
27, 334538257.786642
28, 530966077.605337
29, 368531660.618871
