0, 15763737.560780
1, 51542104.147967
2, 34404323.422813
3, 44341818.544392
4, 94628634.934398
5, 133790743.835906
6, 193778290.773771
7, 54510315.677633
8, 23215498.267378
9, 50263448.251263
10, 8377015.286666
11, 103534734.538002
12, 56544564.497010
13, 134077257.040479
14, 55629709.027508
15, 41392713.122935
16, 135674387.124262
17, 21522267.705585
18, 107523867.456137
19, 127746563.137950
20, 26508309.905629
21, 30270874.748948
22, 42334855.771750
23, 69290796.584676
24, 54803254.230363
25, 43765367.526884
26, 10343496.846785
27, 111115587.181177
28, 35186515.066617
29, 2248761.038857
