0, 26130.034338
1, 15030.723888
2, 14967.309373
3, 17950.741222
4, 14214.403160
5, 18206.337961
6, 13736.933966
7, 21251.475171
8, 19878.031081
9, 20550.948383
10, 13761.892718
11, 20482.602183
12, 24326.627029
13, 15701.829882
14, 26218.577914
15, 24417.102451
16, 19915.962578
17, 20407.280948
18, 24166.398067
19, 24504.062161
20, 12802.385158
21, 19413.209982
22, 23856.490608
23, 20124.236178
24, 20546.228478
25, 15293.334572
26, 13582.726767
27, 25110.529574
28, 18916.398176
29, 20524.086137
